GEOID,STATEFP,COUNTYFP,d_amtrak,d_transit,d_regional_airport,d_national_airport,d_college,d_college_3,d_hospital,d_hospital_3,d_private_school,d_private_school_3,d_public_school,d_public_school_3
420710137012,42,071,6026.579187551161,50524.52090322959,13200.841631744923,39030.226900987174,2385.97942525994,3224.2493042267124,4182.15369309037,4796.768671109232,1995.6949741709402,2867.751522798237,632.6781607768621,1444.0855859956575
420350308003,42,035,39873.6884240049,143028.22152044874,34438.35336283496,112103.43462687198,13464.678195444681,24607.539570847395,12159.773502598227,22797.678244040653,2164.5448915626425,4016.0814324466255,7653.343873134072,8516.980614013015
421039509004,42,103,41612.151436714834,43070.03174626312,22571.89153174961,44046.91344736555,29370.539748090898,31417.204047639687,32438.058167038074,32763.17635423758,11094.817063393113,16293.62809694633,10622.665225289189,15389.67813352836
420454072021,42,045,15657.434339895051,878.6810720300566,16359.312774306729,14752.193246755278,266.25149500178657,2002.5351171241396,801.4983887552329,4834.156250729771,2877.3810493552833,3125.2827016435963,1449.2887488485585,1646.2995486990185
420171040001,42,017,28384.024214490037,15385.166558078152,30860.20727873209,31039.095828208705,15715.25981116398,17595.21306766927,11582.827319236416,13118.095668809268,5790.1597872553475,6669.178277307825,1765.2761561846557,3487.4971089387677
420659511001,42,065,4889.6779388222585,72482.79407688077,23015.28852118465,88681.79543389326,15496.164653055888,20250.548396687424,6120.097776050672,17009.924936153777,4036.7983429859746,4225.564964530113,4514.8087491058695,7620.276310595218
420619504002,42,061,2608.933450578837,79668.37986953561,35173.73234172887,110716.65459221508,825.1580489246683,14376.230663716766,1438.1803785499103,20112.300695414277,2437.970474627212,6877.648874184208,392.64047396247344,406.89072517780346
420639615003,42,063,20177.597621116223,20101.048522060508,26881.579811212523,33198.04706501666,18875.03522923629,20489.59553547843,12447.777481260022,16949.494286016554,13415.662443199772,16772.86388714512,4890.677011026679,6713.096215114273
420639616003,42,063,30171.903073722053,35717.410611406274,42219.10794428726,35583.352289650276,8569.80804556743,18203.85767598059,8113.298097794573,18066.214417105657,3237.618474618025,7398.248051270449,6041.5902134550315,6613.498654883062
420850332002,42,085,60068.73526188192,88925.72717885628,14899.196893372458,15551.504438288082,1046.038544122749,1229.319615385744,1205.1683110558158,6068.268001283787,1510.5383136276168,5392.297467444154,464.8976882124984,1164.4520858976582
421257310001,42,125,55846.7800296079,43077.04099850925,15492.406619709083,47754.67610096667,13573.87976194275,15717.155225929217,17126.520988124077,18485.174502253405,10220.018648650515,14037.164524150467,4757.604313238381,8192.924674518963
420130109001,42,013,9188.110726342547,56309.162101586786,21749.353941010915,97261.86035213376,7760.6133096061085,8266.11579630401,7967.205188519819,8499.017668407381,8091.1205739329735,8363.735588213625,7645.82861081322,7966.483227691502
421314001002,42,131,44897.73955443875,122927.16095154641,69979.04607629262,45685.45140114825,23019.42249886336,28757.24452366257,15463.304837156966,27581.53140396419,17468.340518828867,22968.6545015447,10435.036102588512,12779.750892583641
420990305011,42,099,26208.89094120629,105384.61120134733,30612.085833409325,38324.80524894646,18175.666397828412,18932.425042959578,20813.47167044047,22317.98016236756,6425.8697639797565,8950.82490460472,4065.109264361845,7604.21429550681
420770062023,42,077,15085.514786885818,43899.842842692575,19299.03515707938,19549.23139622218,6225.817672830176,7583.492816078179,6960.057502110897,8841.916329769618,2650.136338768208,3353.8895863306175,578.1166828033236,2372.04998466106
420950101003,42,095,11019.093124468389,38229.72796818327,7504.047489550015,7388.077029565009,1995.53171775007,2940.461316568889,2067.3524514141,4148.18136922873,1123.5459232705027,2156.4639123570532,872.9477755974617,1061.1326310258016
420792166002,42,079,24292.576137388423,97933.69600692047,51417.51451215144,39757.80315847047,7650.810032945457,7756.358204477417,10642.651577179595,16128.679180155928,8075.030908832342,8347.100929600992,3892.4325358887995,6567.379227980107
421330204203,42,133,22713.710814947182,73732.39238121772,20517.441279338127,25136.344827999255,7871.967459573158,14903.986763163884,13680.668233463439,15534.207319337112,10800.182844357989,12006.13827387685,150.11782084965512,225.78865233087336
420990303022,42,099,23897.36514605799,109729.24828135912,29277.907668148568,35935.25296122494,13933.937002069008,16968.66216230447,20745.42177308867,22094.6876028234,11727.183939692193,15492.451514653514,8656.3896823321,8779.362241488345
420010307002,42,001,51571.33447581604,51556.69327667306,23441.12628395537,52408.368738022284,9567.240469370356,10909.955562004881,10508.945465234514,17005.828388385195,5984.745651319905,6470.367155375482,6453.898757215384,6717.5522497162165
420770095001,42,077,6423.73096451507,40576.7622494976,4984.604698400181,5083.880916647751,910.1990508270477,1302.6923601370268,1859.0862943494799,2880.9136251334053,740.8211193275246,911.3593292474405,362.9453402721413,744.5338535714676
420792107002,42,079,12857.250257761398,90704.21937177103,40048.15120917946,5253.563074645061,8491.889800102743,9004.605212613696,8990.857540584517,10204.705821930847,2690.3120506479077,5206.242400946172,743.1297421913338,964.2216959047782
420792111022,42,079,14000.935801223639,94042.81302374073,44618.38857574544,9164.257681488194,10153.59130862646,10795.821680368568,11619.905389776899,11892.697064107773,5460.364458618531,6901.255290842339,4683.308409880854,4761.404744524883
